Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,FAILED,FAILED,0,0,0
wiki,Static,1,,0.0184829,608389,3.29164e+07,N/A
wiki,Eager,1,,0.0169587,608389,3.58748e+07,N/A
wiki,Online,1,,0.0168382,608389,3.61314e+07,N/A
wiki,CostModel,1,,0.0175896,608389,3.4588e+07,N/A
wiki,None,2,,0.0201593,608389,3.01791e+07,0.0
wiki,Static,2,,0.0215725,608389,2.82021e+07,-7.00
wiki,Eager,2,,0.0181901,608389,3.34462e+07,10.00
wiki,Online,2,,0.0196245,608389,3.10016e+07,3.00
wiki,CostModel,2,,0.0212979,608389,2.85657e+07,-5.00
wiki,None,4,,0.0220737,608389,2.75618e+07,0.0
wiki,Static,4,,0.0196944,608389,3.08915e+07,11.00
wiki,Eager,4,,0.021453,608389,2.83591e+07,3.00
wiki,Online,4,,0.0186898,608389,3.25519e+07,16.00
wiki,CostModel,4,,0.019081,608389,3.18845e+07,14.00
wiki,None,6,,0.0184714,608389,3.29369e+07,0.0
wiki,Static,6,,0.019826,608389,3.06864e+07,-7.00
wiki,Eager,6,,0.0240177,608389,2.53309e+07,-30.00
wiki,Online,6,,0.0272551,608389,2.2322e+07,-47.00
wiki,CostModel,6,,0.0253051,608389,2.40422e+07,-36.00
wiki,None,8,,0.0269028,608389,2.26143e+07,0.0
wiki,Static,8,,0.0326959,608389,1.86075e+07,-21.00
wiki,Eager,8,,0.0288783,608389,2.10673e+07,-7.00
wiki,Online,8,,0.027847,608389,2.18475e+07,-3.00
wiki,CostModel,8,,0.0286407,608389,2.12421e+07,-6.00
wiki,None,12,,0.0248238,608389,2.45083e+07,0.0
wiki,Static,12,,0.0234385,608389,2.59569e+07,6.00
wiki,Eager,12,,0.0236203,608389,2.5757e+07,5.00
wiki,Online,12,,0.0226061,608389,2.69126e+07,9.00
wiki,CostModel,12,,0.0231432,608389,2.62881e+07,7.00
wiki,None,16,,0.0231893,608389,2.62358e+07,0.0
wiki,Static,16,,0.0228095,608389,2.66726e+07,2.00
wiki,Eager,16,,0.0251295,608389,2.42101e+07,-8.00
wiki,Online,16,,0.0223017,608389,2.72799e+07,4.00
wiki,CostModel,16,,0.0223123,608389,2.72669e+07,4.00
enron,None,1,,0.0187605,727044,3.87539e+07,0.0
enron,Static,1,,0.0205576,727044,3.53662e+07,-9.00
enron,Eager,1,,0.0198979,727044,3.65387e+07,-6.00
enron,Online,1,,0.0186713,727044,3.89391e+07,1.00
enron,CostModel,1,,0.0181382,727044,4.00837e+07,4.00
enron,None,2,,0.0196409,727044,3.70169e+07,0.0
enron,Static,2,,0.0208943,727044,3.47962e+07,-6.00
enron,Eager,2,,0.0214387,727044,3.39126e+07,-9.00
enron,Online,2,FAILED,FAILED,0,0,0
enron,CostModel,2,,0.0179822,727044,4.04314e+07,9.00
enron,None,4,,0.019966,727044,3.6414e+07,0.0
enron,Static,4,,0.0188539,727044,3.8562e+07,6.00
enron,Eager,4,,0.021644,727044,3.3591e+07,-8.00
enron,Online,4,,0.0211638,727044,3.43532e+07,-5.00
enron,CostModel,4,,0.0209575,727044,3.46913e+07,-4.00
enron,None,6,,0.0209066,727044,3.47758e+07,0.0
enron,Static,6,,0.020169,727044,3.60476e+07,4.00
enron,Eager,6,,0.0206891,727044,3.51414e+07,2.00
enron,Online,6,,0.0202079,727044,3.59782e+07,4.00
enron,CostModel,6,,0.0222001,727044,3.27496e+07,-6.00
enron,None,8,,0.0207195,727044,3.50898e+07,0.0
enron,Static,8,,0.0213315,727044,3.4083e+07,-2.00
enron,Eager,8,,0.0223027,727044,3.25989e+07,-7.00
enron,Online,8,,0.0214096,727044,3.39587e+07,-3.00
enron,CostModel,8,,0.0192842,727044,3.77016e+07,7.00
enron,None,12,,0.0204437,727044,3.55633e+07,0.0
enron,Static,12,,0.0202384,727044,3.5924e+07,2.00
enron,Eager,12,FAILED,FAILED,0,0,0
enron,Online,12,,0.0188065,727044,3.86593e+07,9.00
enron,CostModel,12,,0.0192495,727044,3.77696e+07,6.00
enron,None,16,,0.0188261,727044,3.8619e+07,0.0
enron,Static,16,,0.0205494,727044,3.53803e+07,-9.00
enron,Eager,16,,0.0216044,727044,3.36526e+07,-14.00
enron,Online,16,,0.0208849,727044,3.48119e+07,-10.00
enron,CostModel,16,,0.020498,727044,3.54689e+07,-8.00
