Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.0211646,608389,2.87456e+07,0.0
wiki,Static,1,,0.0180148,608389,3.37716e+07,15.00
wiki,Eager,1,,0.0182074,608389,3.34144e+07,14.00
wiki,Online,1,,0.020215,608389,3.00959e+07,5.00
wiki,CostModel,1,,0.0201417,608389,3.02054e+07,5.00
wiki,None,2,FAILED,FAILED,0,0,0
wiki,Static,2,,0.0176307,608389,3.45074e+07,N/A
wiki,Eager,2,,0.0174548,608389,3.4855e+07,N/A
wiki,Online,2,,0.0186872,608389,3.25564e+07,N/A
wiki,CostModel,2,,0.0199868,608389,3.04396e+07,N/A
wiki,None,4,,0.019446,608389,3.1286e+07,0.0
wiki,Static,4,,0.017215,608389,3.53406e+07,12.00
wiki,Eager,4,,0.0185885,608389,3.27293e+07,5.00
wiki,Online,4,,0.0221632,608389,2.74505e+07,-13.00
wiki,CostModel,4,,0.029163,608389,2.08617e+07,-49.00
wiki,None,6,FAILED,FAILED,0,0,0
wiki,Static,6,,0.0198858,608389,3.05942e+07,N/A
wiki,Eager,6,,0.019215,608389,3.16622e+07,N/A
wiki,Online,6,,0.0175702,608389,3.46261e+07,N/A
wiki,CostModel,6,,0.0176202,608389,3.4528e+07,N/A
wiki,None,8,,0.0188375,608389,3.22967e+07,0.0
wiki,Static,8,,0.0191133,608389,3.18307e+07,-1.00
wiki,Eager,8,,0.018887,608389,3.2212e+07,0
wiki,Online,8,,0.0202549,608389,3.00366e+07,-7.00
wiki,CostModel,8,,0.0184083,608389,3.30497e+07,3.00
wiki,None,12,,0.017994,608389,3.38107e+07,0.0
wiki,Static,12,,0.0205128,608389,2.96589e+07,-13.00
wiki,Eager,12,,0.0182402,608389,3.33544e+07,-1.00
wiki,Online,12,FAILED,FAILED,0,0,0
wiki,CostModel,12,,0.020535,608389,2.96269e+07,-14.00
wiki,None,16,,0.0196718,608389,3.0927e+07,0.0
wiki,Static,16,,0.0181042,608389,3.36048e+07,8.00
wiki,Eager,16,,0.019719,608389,3.08529e+07,0
wiki,Online,16,,0.0190936,608389,3.18635e+07,3.00
wiki,CostModel,16,,0.017315,608389,3.51365e+07,12.00
enron,None,1,,0.0164367,727044,4.42331e+07,0.0
enron,Static,1,,0.0173909,727044,4.18061e+07,-5.00
enron,Eager,1,,0.0168495,727044,4.31493e+07,-2.00
enron,Online,1,,0.016288,727044,4.46369e+07,1.00
enron,CostModel,1,,0.0164254,727044,4.42635e+07,1.00
enron,None,2,,0.0187247,727044,3.88281e+07,0.0
enron,Static,2,,0.0177281,727044,4.10109e+07,6.00
enron,Eager,2,,0.017454,727044,4.16549e+07,7.00
enron,Online,2,,0.0189353,727044,3.83962e+07,-1.00
enron,CostModel,2,,0.0187572,727044,3.87609e+07,0
enron,None,4,,0.019035,727044,3.81952e+07,0.0
enron,Static,4,,0.021505,727044,3.38081e+07,-12.00
enron,Eager,4,,0.0187915,727044,3.869e+07,2.00
enron,Online,4,,0.0216226,727044,3.36243e+07,-13.00
enron,CostModel,4,,0.0219066,727044,3.31884e+07,-15.00
enron,None,6,,0.0242873,727044,2.99351e+07,0.0
enron,Static,6,,0.0236893,727044,3.06908e+07,3.00
enron,Eager,6,,0.0258573,727044,2.81176e+07,-6.00
enron,Online,6,,0.0237098,727044,3.06642e+07,3.00
enron,CostModel,6,FAILED,FAILED,0,0,0
enron,None,8,,0.0215545,727044,3.37304e+07,0.0
enron,Static,8,,0.022354,727044,3.25241e+07,-3.00
enron,Eager,8,,0.0239434,727044,3.03651e+07,-11.00
enron,Online,8,,0.0220118,727044,3.30298e+07,-2.00
enron,CostModel,8,,0.0245545,727044,2.96095e+07,-13.00
enron,None,12,,0.0225642,727044,3.22211e+07,0.0
enron,Static,12,,0.0222573,727044,3.26654e+07,2.00
enron,Eager,12,,0.0203265,727044,3.57683e+07,10.00
enron,Online,12,,0.0236875,727044,3.06932e+07,-4.00
enron,CostModel,12,,0.0222935,727044,3.26124e+07,2.00
enron,None,16,,0.0237616,727044,3.05975e+07,0.0
enron,Static,16,,0.0223888,727044,3.24735e+07,6.00
enron,Eager,16,,0.0235307,727044,3.08976e+07,1.00
enron,Online,16,,0.0251982,727044,2.8853e+07,-6.00
enron,CostModel,16,,0.0228475,727044,3.18217e+07,4.00
